observation_date,MANQGSP
2016-01-01,506097.5
2016-04-01,512379.4
2016-07-01,518874.1
2016-10-01,519081.1
2017-01-01,520552.5
2017-04-01,525711.5
2017-07-01,533293.6
2017-10-01,540960.2
2018-01-01,550614.3
2018-04-01,558443.4
2018-07-01,562943.3
2018-10-01,566419.1
2019-01-01,576212.5
2019-04-01,583353.9
2019-07-01,593435.4
2019-10-01,599276.3
2020-01-01,603791.0
2020-04-01,554664.2
2020-07-01,598464.8
2020-10-01,613692.1
2021-01-01,624979.4
2021-04-01,642478.9
2021-07-01,659609.0
2021-10-01,670978.2
2022-01-01,677472.4
2022-04-01,689779.5
2022-07-01,696337.0
2022-10-01,718859.4
2023-01-01,722413.3
2023-04-01,731887.5
2023-07-01,741207.7
2023-10-01,749676.9
2024-01-01,767359.5
2024-04-01,776147.0
2024-07-01,785140.7
2024-10-01,794017.5
